"mes,""cdi_medio_aa"",""cdi_acumulado_mes"",""ipca_mes"",""ipca_12m"",""indice_precos"",""dolar_medio"",""dolar_fechamento"",""dolar_variacao_mes"",""ibov_medio"",""ibov_fechamento"",""ibov_retorno_mes"""
2024-08-01,10.4,0.867502632609973,-0.02,4.23759901605647,119.588622413388,5.55261363636364,5.6562,-0.104201621306577,132667.181818182,136004,6.54278820543353
2024-09-01,10.4952380952381,0.835148372429395,0.44,4.42474012739591,120.114812352006,5.54156666666667,5.4481,-3.67914854495951,133764,131816,-3.0793211964354
2024-10-01,10.65,0.927946933866286,0.56,4.75809923394785,120.787455301178,5.62410869565217,5.7779,6.05348653659072,130868.347826087,129713,-1.59540571706015
2024-11-01,11.0447368421053,0.792994478160569,0.39,4.87301138907084,121.258526376852,5.80705789473684,6.0535,4.76989909828831,128271.894736842,125668,-3.11842297996345
2024-12-01,11.7690476190476,0.931436361030458,0.52,4.83129579185964,121.889070714012,6.09702857142857,6.1923,2.29288841166269,124298.315789474,120283,-4.28510042333768
2025-01-01,12.2409090909091,1.01320560994462,0.16,4.55987439267738,122.084093227154,6.02177272727273,5.8301,-5.84919981267058,121901.181818182,126135,4.86519292003027
2025-02-01,13.15,0.98533215656893,1.31,5.05763041477878,123.68339484843,5.765645,5.8488,0.320749215279315,126011.25,122799,-2.6447853490308
2025-03-01,13.5710526315789,0.964034440643036,0.56,5.47718964167485,124.376021859581,5.74681052631579,5.7422,-1.82259608808644,128855.842105263,130260,6.07578237607798
2025-04-01,14.15,1.0558782168431,0.43,5.52972858849778,124.910838753577,5.783675,5.6608,-1.41757514541465,130296.4,135067,3.69031168432365
2025-05-01,14.5547619047619,1.13877962846554,0.26,5.31963555925528,125.235606934337,5.66738571428571,5.7087,0.8461701526286,137409.666666667,137027,1.45113166058326
2025-06-01,14.7375,1.09705482558669,0.24,5.35116523759855,125.536172390979,5.547055,5.4571,-4.40730814371049,137209.8,138855,1.3340436556299
2025-07-01,14.9,1.27573400229093,0.26,5.22522242201262,125.862566439196,5.52849130434783,5.6021,2.65708893001779,136001.565217391,133071,-4.16549638111699
2025-08-01,14.9,1.16415750096508,-0.11,5.13050077750392,125.724117616113,5.44692380952381,5.4264,-3.13632387854554,136420.571428571,141422,6.2755972375649
2025-09-01,14.9,1.21993037753783,0.48,5.17236875869767,126.32759338067,5.36740909090909,5.3186,-1.98658410732714,143730,146237,3.404703652897
2025-10-01,14.9,1.27573400229093,0.09,4.68081134703706,126.441288214713,5.38552608695652,5.3843,1.2352874816681,144415,149540,2.25866230844451
2025-11-01,14.9,1.05270392460022,0.18,4.46183564843285,126.668882533499,5.34085263157895,5.3338,-0.937912077707403,155693.052631579,159072,6.37421425705498
2025-12-01,14.9,1.21993037753783,0.33,4.26438490456891,127.08688984586,5.45309090909091,5.5024,3.1609734148262,159718.7,161125,1.29061054113861
2026-01-01,14.9,1.16415750096508,0.33,4.4413512128135,127.506276582351,5.33802380952381,5.2301,-4.94874963652223,169629.142857143,181364,12.5610550814585
2026-02-01,14.9,0.997023190951163,0.7,3.81249696111259,128.398820518427,5.20061666666667,5.1495,-1.54107952046807,187101.055555556,188787,4.09287399925014
2026-03-01,14.7977272727273,1.21205658460077,0.88,4.14284699121956,129.52873013899,5.23158636363636,5.2194,1.35741334110109,181973.727272727,187462,-0.701849173936764
2026-04-01,14.6375,1.09006245724583,0.67,4.39171967147336,130.396572630921,5.033075,4.9886,-4.42196421044565,192271.95,187318,-0.0768155679551019
2026-05-01,14.4,1.0734258154149,0.58,4.72490688766001,131.15287275218,4.9837,5.0569,1.36912159724172,179169.2,173788,-7.22301113614282
2026-06-01,14.2928571428571,1.11949753394012,0.16,4.64132755255413,131.362717348584,5.12757142857143,5.1766,2.36706282505093,170642.80952381,172024,-1.01502980643082
2026-07-01,14.15,1.21521866958203,NA,NA,NA,5.11394782608696,5.0773,-1.91824749835798,174624.260869565,177999,3.47335255545738
2026-08-01,14.05,0.26118610524799,NA,NA,NA,5.09696666666667,5.0963,0.374214641640247,175643.322916667,172179.9375,-3.26915460199214
